,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
0,1,Bitcoin,BTC,bitcoin,10475,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19492575.0,19492575.0,False,,1,,,,2023-09-22T07:44:00.000Z,26605.035609223964,13939702595.271639,10.7576,-0.06806069,-1.47626732,0.0916721,2.2782041,-10.86083648,-13.15242236,518600651990.4688,49.2136,558705747793.7,,2023-09-22T07:44:00.000Z,,,,,,2023-09-22 11:16:26.895798
1,1027,Ethereum,ETH,ethereum,7421,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120228095.36047257,120228095.36047257,True,,2,,,,2023-09-22T07:44:00.000Z,1591.0792018733064,5154167141.850528,4.8362,-0.03059853,-1.67618876,-2.32691998,-3.18373197,-15.17812378,-15.62401394,191292422008.88846,18.151,191292422008.89,,2023-09-22T07:44:00.000Z,,,,,,2023-09-22 11:16:26.895798
2,825,Tether USDt,USDT,tether,62641,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83191016572.37025,86426198726.43625,True,,3,,,,2023-09-22T07:44:00.000Z,0.9998791460666058,21293521903.745483,3.8953,-0.002082,-0.01411696,-0.02237097,-0.0127771,-0.00030336,-0.06297342,83180962610.79442,7.8927,86415753780.37,,2023-09-22T07:44:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-09-22 11:16:26.895798
3,1839,BNB,BNB,bnb,1632,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153847647.319992,153847647.319992,False,,4,,,,2023-09-22T07:44:00.000Z,210.9405255007373,379133127.0787166,-0.9622,0.06030813,-1.21597992,-0.66315133,-2.34921395,-12.75449687,-14.37750131,32452703572.731213,3.0793,32452703572.73,,2023-09-22T07:44:00.000Z,,,,,,2023-09-22 11:16:26.895798
4,52,XRP,XRP,xrp,1097,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53245240268.0,99988414766.0,False,,5,,,,2023-09-22T07:44:00.000Z,0.5098488117362382,847678109.9108726,-17.7696,0.22381289,0.04617368,3.01475326,-1.78237004,-30.0366092,3.62731274,27147022481.2503,2.5759,50984881173.62,,2023-09-22T07:44:00.000Z,,,,,,2023-09-22 11:16:26.895798
5,3408,USD Coin,USDC,usd-coin,14192,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,25776869809.39747,25776869809.39747,False,,6,,,,2023-09-22T07:44:00.000Z,1.0000720240358605,3125610652.12626,7.4939,0.00912526,0.0069977,-0.00694881,-0.00685981,0.01832807,-0.00066134,25778726363.59299,2.446,25778726363.59,,2023-09-22T07:44:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-09-22 11:16:26.895798
6,74,Dogecoin,DOGE,dogecoin,799,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141107706383.7052,141107706383.7052,True,,7,,,,2023-09-22T07:44:00.000Z,0.06164263763074343,197268960.7266524,-3.5333,0.03049635,-1.44428973,-0.44100673,-2.06990575,-18.2047112,-9.2172472,8698251211.51608,0.8253,8698251211.52,,2023-09-22T07:44:00.000Z,,,,,,2023-09-22 11:16:26.895798
7,2010,Cardano,ADA,cardano,938,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35118409105.815,36183233049.326,False,,8,,,,2023-09-22T07:44:00.000Z,0.24520570953731258,115084980.5363611,-0.9407,-0.14691945,-1.77731137,-2.54422073,-5.74103109,-21.96595696,-16.69791688,8611234422.612988,0.8171,11034256929.18,,2023-09-22T07:44:00.000Z,,,,,,2023-09-22 11:16:26.895798
8,5426,Solana,SOL,solana,530,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,412612866.4747214,558108427.9630972,True,,9,,,,2023-09-22T07:44:00.000Z,19.589326824693025,233412435.0280347,-7.1714,-0.129542,-1.39907409,2.68234276,-5.71197718,-20.44673122,14.34125516,8082808293.446741,0.767,10932968398.98,,2023-09-22T07:44:00.000Z,,,,,,2023-09-22 11:16:26.895798
9,11419,Toncoin,TON,toncoin,150,2021-08-26T13:40:22.000Z,"['pos', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3431892087.62,5047558528.0,True,,10,3414166606.0,7824406301.86821,,2023-09-22T07:44:00.000Z,2.291747065921659,47767466.98917761,-5.8746,-1.39318107,-1.89286475,18.23164456,64.82814752,58.48424302,64.06585029,7865028622.362892,0.7462,11567727446.61,,2023-09-22T07:44:00.000Z,,,,,,2023-09-22 11:16:26.895798
10,1958,TRON,TRX,tron,840,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,89144777682.44849,89144813220.85925,True,,11,71659659264.0,5974676665.835986,,2023-09-22T07:44:00.000Z,0.08337573367220172,170001300.19092262,8.8279,0.09391643,-0.52807973,-0.69746756,9.03130384,1.9720444,15.36254028,7432511242.319456,0.7054,7432514205.36,,2023-09-22T07:44:00.000Z,,,,,,2023-09-22 11:16:26.895798
11,4943,Dai,DAI,multi-collateral-dai,2603,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,5347888595.7464075,5347888595.7464075,True,,12,,,,2023-09-22T07:44:00.000Z,0.9997404307307343,74358355.846192,-10.2151,0.00016005,0.03251657,0.00021888,0.01364165,-0.00515223,0.04102597,5346500448.211495,0.5074,5346500448.21,,2023-09-22T07:44:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2023-09-22 11:16:26.895798
12,6636,Polkadot,DOT,polkadot-new,587,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1225832121.5721467,1358091478.8773265,True,,13,,,,2023-09-22T07:44:00.000Z,4.013483191470978,93590857.60556094,2.8204,-0.14587641,-2.42921411,-1.46111955,-9.09574947,-25.20346766,-20.56631752,4919856615.495019,0.4669,5450677322.95,,2023-09-22T07:44:00.000Z,,,,,,2023-09-22 11:16:26.895798
13,3890,Polygon,MATIC,polygon,959,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",10000000000.0,9319469069.28493,10000000000.0,False,,14,,,,2023-09-22T07:44:00.000Z,0.5215696395794608,210515046.97131687,2.2436,-0.1444509,-3.01403406,-0.10549448,-6.26795397,-30.16387712,-22.88585009,4860752123.538874,0.4613,5215696395.79,,2023-09-22T07:44:00.000Z,,,,,,2023-09-22 11:16:26.895798
14,2,Litecoin,LTC,litecoin,1002,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,73679407.97743528,84000000.0,False,,15,,,,2023-09-22T07:44:00.000Z,64.62901698574522,297184544.4337451,-20.589,0.01958981,0.42587503,2.5075062,-0.77625556,-30.37399732,-29.06859105,4761827709.673317,0.4518,5428837426.8,,2023-09-22T07:44:00.000Z,,,,,,2023-09-22 11:16:26.895798
0,1,Bitcoin,BTC,bitcoin,10475,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19492575.0,19492575.0,False,,1,,,,2023-09-22T07:44:00.000Z,26605.035609223964,13939702595.271639,10.7576,-0.06806069,-1.47626732,0.0916721,2.2782041,-10.86083648,-13.15242236,518600651990.4688,49.2136,558705747793.7,,2023-09-22T07:44:00.000Z,,,,,,2023-09-22 11:16:29.513312
1,1027,Ethereum,ETH,ethereum,7421,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120228095.36047257,120228095.36047257,True,,2,,,,2023-09-22T07:44:00.000Z,1591.0792018733064,5154167141.850528,4.8362,-0.03059853,-1.67618876,-2.32691998,-3.18373197,-15.17812378,-15.62401394,191292422008.88846,18.151,191292422008.89,,2023-09-22T07:44:00.000Z,,,,,,2023-09-22 11:16:29.513312
2,825,Tether USDt,USDT,tether,62641,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83191016572.37025,86426198726.43625,True,,3,,,,2023-09-22T07:44:00.000Z,0.9998791460666058,21293521903.745483,3.8953,-0.002082,-0.01411696,-0.02237097,-0.0127771,-0.00030336,-0.06297342,83180962610.79442,7.8927,86415753780.37,,2023-09-22T07:44:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-09-22 11:16:29.513312
3,1839,BNB,BNB,bnb,1632,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153847647.319992,153847647.319992,False,,4,,,,2023-09-22T07:44:00.000Z,210.9405255007373,379133127.0787166,-0.9622,0.06030813,-1.21597992,-0.66315133,-2.34921395,-12.75449687,-14.37750131,32452703572.731213,3.0793,32452703572.73,,2023-09-22T07:44:00.000Z,,,,,,2023-09-22 11:16:29.513312
